Date,Open,High,Low,Volume,Close
2023-11-06,108.17,108.27,105.77,19097270,105.87
2023-11-03,108.4,108.78,106.54,30555550,107.78
2023-11-02,105.88,109.19,105.5,25212690,109.11
2023-11-01,106.53,107.17,105.46,28984870,105.64
2023-10-31,105.58,106.16,104.54,22185150,105.85
2023-10-30,105.74,106.42,105.21,19379920,105.88
2023-10-27,108.89,109.86,104.96,23092020,105.55
2023-10-26,107.45,108.34,106.5,18768290,107.6
2023-10-25,108.52,109.5,108.13,22047320,108.59
2023-10-24,109.7,109.82,108.12,16786110,108.39
2023-10-23,110.63,110.96,108.68,18184950,109.45
2023-10-20,112.92,113.32,110.79,22445270,111.08
2023-10-19,112.72,113.97,111.33,20972490,113.02
2023-10-18,111.82,113.39,111.7,23380270,112.95
2023-10-17,109.73,111.8,109.68,19775440,111.39
2023-10-16,110.5,110.68,109.13,18452000,109.95
2023-10-13,108.03,110.2,107.84,30290330,109.87
2023-10-12,107.59,107.84,106.09,31182960,106.47
2023-10-11,106.96,107.17,104.83,57939020,106.49
2023-10-10,111.02,111.45,110.12,13891950,110.45
2023-10-09,110.44,112.07,109.52,22369890,110.92
2023-10-06,105.73,108.27,105.11,25367470,107.17
2023-10-05,109.8,110.9,108.7,20128780,108.99
2023-10-04,114.05,114.09,110.5,19622230,111.5
2023-10-03,115.44,116.44,115.03,13297060,115.83
2023-10-02,117.53,117.79,114.55,14395000,115.63
2023-09-29,119.1,119.18,116.73,18813570,117.58
2023-09-28,119.98,120.7,118.19,16808120,119.47
2023-09-27,117.89,120.5,117.4,23976160,120.2
2023-09-26,115.5,116.73,115.37,11805430,116.41
2023-09-25,115.09,116.65,114.83,11316010,116.23
2023-09-22,115.71,116.68,114.81,13200210,114.94
2023-09-21,116.98,117.37,114.6,14409640,114.76
2023-09-20,116.54,118.02,116.32,11883210,116.4
2023-09-19,118.62,118.84,116.61,12569720,117.33
2023-09-18,117.53,118.24,116.7,14045310,117.64
2023-09-15,117.9,118.51,116.5,34568390,116.7
2023-09-14,117.55,118.66,117.33,15210700,118.52
2023-09-13,117.41,117.96,115.9,13472800,116.44
2023-09-12,115.34,117.67,115.27,20145760,117.49
2023-09-11,116.18,116.68,113.57,14383560,114.16
2023-09-08,114.53,116.05,114.32,14286480,115.61
2023-09-07,114.65,115.85,113.7,13248540,113.95
2023-09-06,113.48,114.59,113.23,13325540,114.51
2023-09-05,114.1,115.83,113.5,18304010,113.53
2023-09-01,112.2,113.82,112.2,14843480,113.52
2023-08-31,111.12,111.42,110.62,17479830,111.19
2023-08-30,110.44,111.14,109.98,11922060,110.88
2023-08-29,109.66,110.02,108.42,9665010,109.81
2023-08-28,108.45,110.04,108.44,10382120,109.16
2023-08-25,107.43,108.93,106.62,13579300,108.25
2023-08-24,106.42,107.77,106.07,10818480,106.35
2023-08-23,107.04,107.3,105.72,11435550,107.15
2023-08-22,109.17,109.72,107.95,10520840,108.1
2023-08-21,110.36,110.98,108.14,11092380,108.71
2023-08-18,107.64,110.2,107.62,16223950,110.04
2023-08-17,107.42,110.15,107.42,16709540,108.4
2023-08-16,108.28,109.33,106.28,13695120,106.34
2023-08-15,110.75,110.86,107.97,14909580,108.16
